id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0489399,Petrang kabayo at ang pilyang kuting,Petrang kabayo at ang pilyang kuting,1988,114,"Comedy,Family,Fantasy",7.4,20,actress,Pinky,Manilyn Reynes,1972,\N,"actress,soundtrack,music_department","tt1627578,tt0428451,tt1339339,tt0312965"
tt0489451,Canned Beauties,Bijokan,2003,61,"Comedy,Fantasy",6.9,19,actor,\N,Takashi Ozawa,\N,\N,actor,tt0489451
tt0490080,Guantanamero,Arritmia,2007,89,"Drama,Fantasy,Mystery",4.9,213,actress,Manuela,Natalia Verbeke,1975,\N,"actress,soundtrack,miscellaneous","tt0273300,tt0301524,tt0292542,tt1320315"
tt0490447,Makoto,Makoto,2005,115,"Drama,Fantasy,Mystery",5.9,12,actor,Shijo,Shô Aikawa,1961,\N,"actor,music_department,soundtrack","tt0361668,tt0241588,tt0241644,tt0388556"
tt0490931,Les filles de Malemort,Les filles de Malemort,1974,90,"Fantasy,Horror",5.0,38,actress,Clémence,Nicole Chomo,\N,\N,actress,"tt0046487,tt0490931,tt0075932,tt0099334"
tt0491020,The Belly of the Bee,I koilia tis melissas,2001,95,"Adventure,Comedy,Fantasy",5.1,21,actress,Afroula Delakovia,Sotiria Leonardou,\N,2019,"actress,writer,soundtrack","tt0086182,tt0463282,tt0491020,tt0858455"
tt0492330,Poltergay,Poltergay,2006,93,"Comedy,Fantasy,Horror",5.4,1213,actress,Emma,Julie Depardieu,1973,\N,"actress,soundtrack,director","tt0293564,tt0335351,tt0344510,tt0490234"
tt0492348,Nokta ile Virgül: Saskin Milyonerler,Nokta ile Virgül: Saskin Milyonerler,1980,75,"Comedy,Fantasy",3.5,33,actor,Ökkes,Bülent Kayabas,1945,2017,"actor,writer,assistant_director","tt4219842,tt0278527,tt0362137,tt5608972"
tt0493107,An Angel of the Lord,Andel páne,2005,90,"Comedy,Family,Fantasy",6.9,777,actor,hrabe Maxmilián,David Svehlík,1972,\N,"actor,script_department","tt15387348,tt11070500,tt1860359,tt0441328"
tt0493409,Devil's Den,Devil's Den,2006,84,"Action,Comedy,Fantasy",4.6,1179,actor,Quinn,Devon Sawa,1978,\N,"actor,producer,writer","tt0195714,tt0138510,tt0114011,tt0112642"
tt0494206,Attack of the Gryphon,Attack of the Gryphon,2007,89,"Action,Adventure,Fantasy",3.3,1197,actor,Prince Seth of Delphi,Jonathan LaPaglia,1969,\N,"actor,producer,director","tt0167720,tt2832756,tt0118954,tt2452470"
tt0494238,Inkheart,Inkheart,2008,106,"Adventure,Family,Fantasy",6.1,78570,actress,Resa,Sienna Guillory,1975,\N,"actress,producer","tt1855325,tt0449010,tt0318627,tt0314331"
tt0495596,Tales from Earthsea,Gedo senki,2006,115,"Adventure,Animation,Fantasy",6.3,40434,actress,Tenar,Mariska Hargitay,1964,\N,"actress,producer,director","tt0495596,tt0203259,tt0139414,tt0113627"
tt0495626,In the Name of the Tiger,Seua phuu khaao,2005,114,"Action,Fantasy",4.6,25,actor,Laikhan,Somlek Sakdikul,\N,\N,actor,"tt0808499,tt0306359,tt0969694,tt1442486"
tt0496408,That Beautiful Somewhere,That Beautiful Somewhere,2006,93,"Drama,Fantasy,Mystery",5.3,591,actor,Professor French,David Fox,1941,2021,"actor,writer,camera_department","tt0114916,tt1462041,tt1663662,tt2023587"
tt0496436,White Noise 2: The Light,White Noise 2: The Light,2007,99,"Drama,Fantasy,Horror",5.7,13308,actress,Sherry Clarke,Katee Sackhoff,1980,\N,"actress,producer,writer","tt0220506,tt0407362,tt1411250,tt2388715"
tt0496473,Ang agimat ni Pepe,Ang agimat ni Pepe,1979,\N,"Action,Comedy,Fantasy",6.1,13,actor,\N,Panchito,1925,1995,actor,"tt1158275,tt0478690,tt0359625,tt0121067"
tt0497143,Tonyong Bayawak,Tonyong Bayawak,1979,120,"Action,Fantasy",6.2,12,actress,\N,Boots Anson-Roa,1945,\N,"actress,producer","tt1339326,tt0318434,tt0360061,tt0479725"
tt0497227,Joaquin Bordado,Joaquin Bordado,1988,\N,"Action,Fantasy",7.3,15,actress,Isabel,Tanya Gomez,\N,\N,actress,"tt8963470,tt10719524,tt0399989,tt8154598"
tt0497876,"Big Bang Love, Juvenile A",46-okunen no koi,2006,85,"Drama,Fantasy",6.7,2048,actor,Shiro Kazuki,Masanobu Andô,1975,\N,actor,"tt0116767,tt0266308,tt0906665,tt0380027"
